# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_idr            15:(.)rho_idm_dr         16:(.)rho_crit           17:(.)rho_g_twin         18:(.)rho_ur_twin        19:(.)rho_b_twin         20:(.)rho_tot            21:(.)p_tot              22:(.)p_tot_prime        23:gr.fac. D             24:gr.fac. f          
       1.000000000000e+14       7.384646523714e-26       4.527464625426e-09       2.208341160550e+22       1.382826133234e+04       1.382826133234e-10       1.382826133234e+18       2.614407046807e-09       2.751560535470e+44       2.490422367464e+33       1.336376166075e+34       4.191249637826e-08       1.902194177205e+44       2.230159685450e+43       1.502953689520e+32       4.876770681380e+44       2.230159685450e+43       0.000000000000e+00       1.502953689520e+32       4.876770681380e+44       1.625590227073e+44      -1.370277077747e+53       5.791342657835e-06       2.000000000000e+00 
       9.893085837570e+13       7.545120131090e-26       4.576577339321e-09       2.161372998909e+22       1.382826133234e+04       1.397770277078e-10       1.368041763451e+18       2.642660835075e-09       2.635761930281e+44       2.411394910978e+33       1.293969540318e+34       4.191249637826e-08       1.822140902098e+44       2.136304078803e+43       1.455261136360e+32       4.671533240415e+44       2.136304078803e+43       0.000000000000e+00       1.455261136360e+32       4.671533240415e+44       1.557177746753e+44      -1.298575722057e+53       5.915844711728e-06       1.957908951199e+00 
       9.787314738953e+13       7.709080927052e-26       4.627509042621e-09       2.115403780841e+22       1.382826133234e+04       1.412875921656e-10       1.353415459521e+18       2.671219959862e-09       2.524836674885e+44       2.334875197339e+33       1.252908585004e+34       4.191249637826e-08       1.745456645219e+44       2.046398357417e+43       1.409081989563e+32       4.474933155996e+44       2.046398357417e+43       0.000000000000e+00       1.409081989563e+32       4.474933155996e+44       1.491644385282e+44      -1.230626223922e+53       6.040346765609e-06       1.917553041747e+00 
       9.682674483178e+13       7.876604697205e-26       4.676621756516e-09       2.070412260287e+22       1.382826133234e+04       1.428144812300e-10       1.338945531493e+18       2.700087721484e-09       2.418579675807e+44       2.260783649468e+33       1.213150598578e+34       4.191249637826e-08       1.671999622440e+44       1.960276291549e+43       1.364368224886e+32       4.286606927546e+44       1.960276291549e+43       0.000000000000e+00       1.364368224886e+32       4.286606927546e+44       1.428868975800e+44      -1.166232262994e+53       6.164848819482e-06       1.878827146173e+00 
       9.579152979933e+13       8.047768880660e-26       4.727553459816e-09       2.026377643062e+22       1.382826133234e+04       1.443578713202e-10       1.324630307489e+18       2.729267455936e-09       2.316794470871e+44       2.189043215469e+33       1.174654234510e+34       4.191249637826e-08       1.601634016574e+44       1.877778647181e+43       1.321073342015e+32       4.106206352303e+44       1.877778647181e+43       0.000000000000e+00       1.321073342015e+32       4.106206352303e+44       1.368735450721e+44      -1.105207791619e+53       6.289350873359e-06       1.841634462311e+00 
       9.476738268169e+13       8.222652582175e-26       4.778485163115e-09       1.983279577244e+22       1.382826133234e+04       1.459179407622e-10       1.310468133504e+18       2.758762534515e-09       2.219292865953e+44       2.119579288499e+33       1.137379458305e+34       4.191249637826e-08       1.534229726263e+44       1.798752891615e+43       1.279152316211e+32       3.933397881514e+44       1.798752891615e+43       0.000000000000e+00       1.279152316211e+32       3.933397881514e+44       1.311132627126e+44      -1.047376497301e+53       6.413852927234e-06       1.805885704794e+00 
       9.375418514718e+13       8.401336629106e-26       4.829416866414e-09       1.941098143764e+22       1.382826133234e+04       1.474948698090e-10       1.296457373215e+18       2.788576365133e-09       2.125894587024e+44       2.052319629182e+33       1.101287505862e+34       4.191249637826e-08       1.469662125423e+44       1.723052911444e+43       1.238561551485e+32       3.767862003723e+44       1.723052911444e+43       0.000000000000e+00       1.238561551485e+32       3.767862003723e+44       1.255954001197e+44      -9.925712933059e+52       6.538354981110e-06       1.771498388751e+00 
       9.275182012925e+13       8.583903607212e-26       4.882167559117e-09       1.899813847203e+22       1.382826133234e+04       1.490888406617e-10       1.282596407797e+18       2.818712392588e-09       2.036426946831e+44       1.987194290481e+33       1.066340843165e+34       4.191249637826e-08       1.407811832824e+44       1.650538742402e+43       1.199258835257e+32       3.609292654023e+44       1.650538742402e+43       0.000000000000e+00       1.199258835257e+32       3.609292654023e+44       1.203097551299e+44      -9.406338359066e+52       6.662857034987e-06       1.738396194510e+00 
       9.176017181296e+13       8.770437902500e-26       4.934918251820e-09       1.859407606781e+22       1.382826133234e+04       1.507000374904e-10       1.268883635730e+18       2.849174098921e-09       1.950724525616e+44       1.924135544956e+33       1.032503127248e+34       4.191249637826e-08       1.348564491358e+44       1.581076310576e+43       1.161203294465e+32       3.457396648155e+44       1.581076310576e+43       0.000000000000e+00       1.161203294465e+32       3.457396648155e+44       1.152465549344e+44      -8.914140668982e+52       6.787359088864e-06       1.706508402190e+00 
       9.077912562158e+13       8.961025725561e-26       4.987668944523e-09       1.819860747538e+22       1.382826133234e+04       1.523286464554e-10       1.255317472616e+18       2.879965003687e-09       1.868628865258e+44       1.863077814332e+33       9.997391684009e+33       4.191249637826e-08       1.291810556602e+44       1.514537184513e+43       1.124355353049e+32       3.311893140431e+44       1.514537184513e+43       0.000000000000e+00       1.124355353049e+32       3.311893140431e+44       1.103964380104e+44      -8.447697800473e+52       6.911861142738e-06       1.675769387441e+00 
